Total Revenue: ['391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00']
         748604 function calls (725758 primitive calls) in 1.833 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      549    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      652    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       59    0.000    0.000    0.001    0.000 _util.py:84(validate)
      445    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      118    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
       89    0.000    0.000    0.000    0.000 dataclasses.py:437(add_fn)
  211/205    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      432    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
      628    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       89    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      297    0.000    0.000    0.054    0.000 __init__.py:287(compile)
       64    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
      137    0.000    0.000    0.001    0.000 css_types.py:179(__init__)
       27    0.000    0.000    0.001    0.000 _readers.py:64(_decode_header_lines)
      348    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
      211    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      267    0.000    0.000    0.000    0.000 {built-in method builtins.any}
    38/21    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       85    0.000    0.000    0.000    0.000 css_parser.py:759(parse_combinator)
      263    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      180    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      436    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
       31    0.000    0.000    0.000    0.000 inspect.py:176(get_annotations)
     1067    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
       13    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      267    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      174    0.000    0.000    0.000    0.000 element.py:273(get_text)
      242    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      268    0.000    0.000    0.000    0.000 css_parser.py:332(match)
       35    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
      933    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
        3    0.000    0.000    0.000    0.000 typing.py:2994(__new__)
      290    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        1    0.000    0.000    0.970    0.970 http11.py:70(handle_request)
     21/7    0.000    0.000    0.000    0.000 inspect.py:2477(_signature_from_callable)
      245    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
      114    0.000    0.000    0.000    0.000 _models.py:26(enforce_bytes)
       60    0.000    0.000    0.014    0.000 element.py:2008(find_all)
      546    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       51    0.000    0.000    0.000    0.000 message.py:421(__setitem__)
      360    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      125    0.000    0.000    0.002    0.000 typing.py:1658(copy_with)
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      265    0.000    0.000    0.000    0.000 _connection.py:205(our_state)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
        1    0.000    0.000    0.020    0.020 dammit.py:67(EntitySubstitution)
      295    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
        1    0.000    0.000    1.182    1.182 _client.py:988(_send_single_request)
        1    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
  176/125    0.000    0.000    0.005    0.000 typing.py:574(__getitem__)
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
       70    0.000    0.000    0.000    0.000 css_parser.py:520(parse_tag_pattern)
      945    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       60    0.000    0.000    0.000    0.000 element.py:2150(__init__)
      606    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        2    0.000    0.000    0.000    0.000 _models.py:156(multi_items)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       78    0.000    0.000    0.000    0.000 typing.py:3790(__getattr__)
      663    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       22    0.000    0.000    0.000    0.000 _receivebuffer.py:87(maybe_extract_next_line)
    72/56    0.000    0.000    0.055    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        2    0.000    0.000    0.000    0.000 _models.py:1202(info)
        3    0.000    0.000    0.000    0.000 _models.py:60(enforce_headers)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      137    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        8    0.000    0.000    0.000    0.000 _models.py:61(__init__)
      180    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       27    0.000    0.000    0.000    0.000 _readers.py:43(_obsolete_line_fold)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
      186    0.000    0.000    0.002    0.000 _parser.py:97(closegroup)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      305    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      143    0.000    0.000    0.000    0.000 enum.py:760(__delattr__)
       24    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
      260    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      431    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    1.179    1.179 default.py:199(handle_request)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      128    0.000    0.000    0.000    0.000 _models.py:91(encoding)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
      149    0.000    0.000    0.000    0.000 enum.py:199(__get__)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
      378    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      248    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      357    0.000    0.000    0.000    0.000 typing.py:1105(__hash__)
