Total Revenue: ['391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00']
         719712 function calls (699924 primitive calls) in 7.376 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 _collections.py:335(extend)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
      727    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      235    0.000    0.000    0.000    0.000 enum.py:695(__call__)
        2    0.000    0.000    0.002    0.001 parser.py:56(parsestr)
      635    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      216    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      277    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
       10    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      635    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        5    0.000    0.000    0.000    0.000 request.py:2495(getproxies_environment)
      648    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      181    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      308    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
       22    0.000    0.000    0.002    0.000 enum.py:498(__new__)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      374    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      417    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      519    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     1103    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.123    0.123 ssl.py:990(_create)
       41    0.000    0.000    0.001    0.000 typing.py:1423(__init__)
      274    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        2    0.000    0.000    0.001    0.000 connection.py:369(request)
        2    0.000    0.000    1.574    0.787 connectionpool.py:377(_make_request)
       12    0.000    0.000    0.000    0.000 message.py:529(get_all)
       55    0.000    0.000    0.000    0.000 enum.py:353(__setitem__)
      137    0.000    0.000    0.001    0.000 css_types.py:179(__init__)
     1103    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       49    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      210    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      252    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       24    0.000    0.000    0.001    0.000 enum.py:251(__set_name__)
      292    0.000    0.000    0.061    0.000 __init__.py:287(compile)
      348    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
  139/137    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      199    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       85    0.000    0.000    0.000    0.000 css_parser.py:759(parse_combinator)
      220    0.000    0.000    0.000    0.000 <frozen os>:734(__iter__)
      349    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      319    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:61(lookup)
       25    0.000    0.000    0.000    0.000 threading.py:318(_is_owned)
      174    0.000    0.000    0.000    0.000 element.py:273(get_text)
        1    0.000    0.000    0.000    0.000 __init__.py:484(reset)
      998    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      308    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      179    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      535    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      508    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       42    0.000    0.000    0.415    0.010 response.py:1044(stream)
       52    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:979(update)
       48    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
        2    0.000    0.000    0.003    0.001 client.py:231(_parse_header_lines)
  163/160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
       46    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
    72/41    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      348    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
