Total Revenue: ['391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00']
         719621 function calls (699848 primitive calls) in 1.906 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      118    0.000    0.000    0.001    0.000 _htmlparser.py:241(handle_comment)
      635    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        2    0.000    0.000    1.275    0.637 connectionpool.py:377(_make_request)
      727    0.000    0.000    0.000    0.000 _parser.py:82(groups)
       10    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        2    0.000    0.000    0.916    0.458 client.py:291(_read_status)
      635    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      648    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      199    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       42    0.000    0.000    0.285    0.007 response.py:1044(stream)
      181    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
      519    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      417    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        2    0.000    0.000    1.277    0.638 adapters.py:613(send)
      235    0.000    0.000    0.000    0.000 enum.py:695(__call__)
      308    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
       48    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)
        1    0.000    0.000    0.132    0.132 financial_enhanced.py:40(parse_financial_table)
       49    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      3/2    0.000    0.000    1.171    0.586 sessions.py:159(resolve_redirects)
        2    0.000    0.000    0.001    0.000 connection.py:369(request)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
       41    0.000    0.000    0.001    0.000 typing.py:1423(__init__)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       22    0.000    0.000    0.002    0.000 enum.py:498(__new__)
       65    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       24    0.000    0.000    0.001    0.000 enum.py:251(__set_name__)
      210    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
       40    0.000    0.000    0.000    0.000 _collections.py:300(add)
     1103    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       55    0.000    0.000    0.000    0.000 enum.py:353(__setitem__)
      374    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
     1103    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        5    0.000    0.000    0.000    0.000 request.py:2495(getproxies_environment)
      137    0.000    0.000    0.001    0.000 css_types.py:179(__init__)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      348    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
      292    0.000    0.000    0.061    0.000 __init__.py:287(compile)
        6    0.000    0.000    0.001    0.000 cookies.py:124(extract_cookies_to_jar)
      349    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
       85    0.000    0.000    0.000    0.000 css_parser.py:759(parse_combinator)
       12    0.000    0.000    0.000    0.000 message.py:529(get_all)
        1    0.000    0.000    0.118    0.118 __init__.py:122(__init__)
       22    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      308    0.000    0.000    0.000    0.000 typing.py:1294(_is_dunder)
      252    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        8    0.000    0.000    0.000    0.000 message.py:596(get_content_type)
      274    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       46    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
        6    0.000    0.000    0.002    0.000 feedparser.py:178(_call_parse)
      268    0.000    0.000    0.000    0.000 css_parser.py:332(match)
    72/41    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      235    0.000    0.000    0.000    0.000 enum.py:1152(__new__)
      174    0.000    0.000    0.000    0.000 element.py:273(get_text)
        2    0.000    0.000    0.000    0.000 socket.py:782(close)
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
      535    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      319    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
  139/137    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      179    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      348    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      508    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.001    0.001 adapters.py:359(build_response)
      998    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       48    0.000    0.000    0.000    0.000 feedparser.py:79(readline)
  163/160    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
       62    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      213    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        2    0.000    0.000    1.275    0.638 connectionpool.py:592(urlopen)
        2    0.000    0.000    0.000    0.000 response.py:577(__init__)
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
    62/58    0.000    0.000    0.001    0.000 typing.py:426(inner)
       60    0.000    0.000    0.014    0.000 element.py:2008(find_all)
       52    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
       10    0.000    0.000    0.000    0.000 client.py:1292(putheader)
        2    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
       60    0.000    0.000    0.000    0.000 element.py:2150(__init__)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      358    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      220    0.000    0.000    0.000    0.000 <frozen os>:734(__iter__)
